Word,Count,Percentage of total,Cumulative percentage of total
ἄσημος,7,0.02,82.44
ἄβατος,7,0.02,82.46
οὐράνιος,7,0.02,82.48
σύνοικος,7,0.02,82.51
σύντροφος,7,0.02,82.53
θηριώδης,7,0.02,82.56
μυθώδης,7,0.02,82.58
ἐαρινός,7,0.02,82.6
θέσφατος,7,0.02,82.63
ὠνητός,7,0.02,82.65
θαλάσσιος,7,0.02,82.67
στενωπός,7,0.02,82.7
νικητήριος,7,0.02,82.72
σύντονος,7,0.02,82.74
μαντικός,7,0.02,82.77
ξηρός,7,0.02,82.79
εὐμαρής,7,0.02,82.82
πλησίος,7,0.02,82.84
διαπόντιος,7,0.02,82.86
δυώδεκα,7,0.02,82.89
ἐπίσημος,7,0.02,82.91
πολυχρόνιος,7,0.02,82.93
σκύτινος,7,0.02,82.96
ἁβρός,7,0.02,82.98
ἀχάριστος,7,0.02,83.0
ὁμομήτριος,7,0.02,83.03
σκαιός,7,0.02,83.05
ἁπαλός,7,0.02,83.07
χειροποίητος,7,0.02,83.1
ἡρωικός,7,0.02,83.12
εὐθαρσής,7,0.02,83.15
φονικός,7,0.02,83.17
μακαριστός,7,0.02,83.19
ἐπάλληλος,7,0.02,83.22
ἀνυπόστατος,7,0.02,83.24
ἄνανδρος,7,0.02,83.26
ἀνίκητος,7,0.02,83.29
ἀλίμενος,7,0.02,83.31
δύσκολος,7,0.02,83.33
δημοτελής,7,0.02,83.36
ἔξαρνος,7,0.02,83.38
πολλοστός,7,0.02,83.41
φορτικός,7,0.02,83.43
ἀπαίδευτος,7,0.02,83.45
ὑπερήφανος,7,0.02,83.48
ἀήσσητος,7,0.02,83.5
κατάρατος,7,0.02,83.52
ἰσχνός,7,0.02,83.55
εὐχερής,7,0.02,83.57
ἀηδής,7,0.02,83.59
ἀντίγραφον,7,0.02,83.62
κατάφρακτος,7,0.02,83.64
ἡγητέον,7,0.02,83.67
ἄτρωτος,7,0.02,83.69
σύναρχος,7,0.02,83.71
σκηπτοῦχος,7,0.02,83.74
ἀνεπιτήδειος,6,0.02,83.76
ἔχθιστος,6,0.02,83.78
τριταῖος,6,0.02,83.8
ὁμογνώμων,6,0.02,83.82
πολυάνθρωπος,6,0.02,83.84
εὔδηλος,6,0.02,83.86
μηδέτερος,6,0.02,83.88
παμπλήθης,6,0.02,83.9
πάγκαλος,6,0.02,83.92
νόθος,6,0.02,83.94
ἑσπέριος,6,0.02,83.96
ἔμφρων,6,0.02,83.98
ἀνέστιος,6,0.02,84.0
ἐπίφθονος,6,0.02,84.02
κεφαλαιώδης,6,0.02,84.04
λόγιος,6,0.02,84.06
ὀθνεῖος,6,0.02,84.08
αὐτόχθων,6,0.02,84.1
διαρκής,6,0.02,84.12
ὑποδεής,6,0.02,84.14
ἄμοιρος,6,0.02,84.16
μουσικός,6,0.02,84.18
πρόσφορος,6,0.02,84.2
ἀκρατής,6,0.02,84.22
ἀνήμερος,6,0.02,84.24
πλώιμος,6,0.02,84.26
σκοτεινός,6,0.02,84.28
περιδεής,6,0.02,84.3
πενταετής,6,0.02,84.32
αὐτουργός,6,0.02,84.34
φλαῦρος,6,0.02,84.36
στερεός,6,0.02,84.38
ἐναγής,6,0.02,84.4
ἄμαχος,6,0.02,84.42
ἐπίδοξος,6,0.02,84.44
ἐλαφρός,6,0.02,84.46
ἄμορφος,6,0.02,84.48
ἰσόρροπος,6,0.02,84.5
φιλόκαλος,6,0.02,84.53
ἀξιόμαχος,6,0.02,84.55
εὐτρεπής,6,0.02,84.57
σύνολος,6,0.02,84.59
εὐχείρωτος,6,0.02,84.61
θεμέλιος,6,0.02,84.63
φιλάργυρος,6,0.02,84.65
ἀργός1,6,0.02,84.67
σκυθρωπός,6,0.02,84.69
ἀνώμαλος,6,0.02,84.71
ἄτακτος,6,0.02,84.73
πανοῦργος,6,0.02,84.75
περικαλλής,6,0.02,84.77
ἐξαιρετός,6,0.02,84.79
πλατύς,6,0.02,84.81
τεχνικός,6,0.02,84.83
λαθραῖος,6,0.02,84.85
εὐσχήμων,6,0.02,84.87
ἀνόμοιος,6,0.02,84.89
ὁμοπάτριος,6,0.02,84.91
καταγέλαστος,6,0.02,84.93
ἀργύρειος,6,0.02,84.95
ἐσθλός,6,0.02,84.97
ἀνώμοτος,6,0.02,84.99
πτηνός,6,0.02,85.01
ἀίδιος,6,0.02,85.03
ἀναγκαῖον,6,0.02,85.05
ἁβροδίαιτος,6,0.02,85.07
ἀνθινός,6,0.02,85.09
περιπατητικός,6,0.02,85.11
ὁμαλής,6,0.02,85.13
ἄγροικος,6,0.02,85.15
ποιητικός,6,0.02,85.17
ὑπόδικος,6,0.02,85.19
εὐκαταφρόνητος,6,0.02,85.21
ἀντίπρῳρος,6,0.02,85.23
γραμματοφόρος,6,0.02,85.25
συμφανής,6,0.02,85.27
μόνιμος,6,0.02,85.29
ὀλυμπιάς,6,0.02,85.31
καπηλικός,6,0.02,85.33
κτητικός,6,0.02,85.35
μεταβλητικός,6,0.02,85.38
ἄπειρος,6,0.02,85.4
ὑγιεινός,6,0.02,85.42
θεομισής,6,0.02,85.44
ξένιος,5,0.02,85.45
νεοδαμώδης,5,0.02,85.47
μοχθηρός,5,0.02,85.49
ναυαγός,5,0.02,85.5
βιωτός,5,0.02,85.52
ἀρεστός,5,0.02,85.54
ὄρθιος,5,0.02,85.55
ἀέναος,5,0.02,85.57
ἀξιόπιστος,5,0.02,85.59
φαιδρός,5,0.02,85.6
ἀπροσδόκητος,5,0.02,85.62
παρόμοιος,5,0.02,85.64
ὤνιος,5,0.02,85.66
ἐρρωμένος,5,0.02,85.67
μυθικός,5,0.02,85.69
κακοήθης,5,0.02,85.71
ποδαπός,5,0.02,85.72
πολεμιστήριος,5,0.02,85.74
πλησιόχωρος,5,0.02,85.76
δορίκτητος,5,0.02,85.77
ἀκμαῖος,5,0.02,85.79
ἐρυθρός,5,0.02,85.81
γεωργικός,5,0.02,85.82
δεκαετής,5,0.02,85.84
δυστυχής,5,0.02,85.86
ἀκούσιος,5,0.02,85.87
ἀνασχετός,5,0.02,85.89
πεδινός,5,0.02,85.91
ἀμφίλογος,5,0.02,85.92
ἐκπληκτικός,5,0.02,85.94
δίδυμος,5,0.02,85.96
στάδιος,5,0.02,85.98
ἠλίθιος,5,0.02,85.99
ἀντίτυπος,5,0.02,86.01
σφός,5,0.02,86.03
ἄφωνος,5,0.02,86.04
στρογγύλος,5,0.02,86.06
ὀγδώκοντα,5,0.02,86.08
ἐπικάρσιος,5,0.02,86.09
σκολιός,5,0.02,86.11
ἐγγυητός,5,0.02,86.13
ἱππαγωγός,5,0.02,86.14
πεντακισμύριοι,5,0.02,86.16
στυγερός,5,0.02,86.18
ἀμβλύς,5,0.02,86.19
ἀγνώμων,5,0.02,86.21
νεανικός,5,0.02,86.23
ξιφήρης,5,0.02,86.25
ἀγαπητός,5,0.02,86.26
ἀνυπέρβλητος,5,0.02,86.28
συμπαθής,5,0.02,86.3
θεωρικός,5,0.02,86.31
ἀνεπίφθονος,5,0.02,86.33
ἄπαις,5,0.02,86.35
κληρωτός,5,0.02,86.36
βδελυρός,5,0.02,86.38
ἀνέμητος,5,0.02,86.4
κομψός,5,0.02,86.41
περιμάχητος,5,0.02,86.43
πρακτέος,5,0.02,86.45
ποθεινός,5,0.02,86.46
ὕπουλος,5,0.02,86.48
ὑπερμεγέθης,5,0.02,86.5
πρώτειος,5,0.02,86.52
ἀλόγιστος,5,0.02,86.53
πρόσφατος,5,0.02,86.55
ἔμπνους,5,0.02,86.57
ἀσύμφορος,5,0.02,86.58
ἀτυχής,5,0.02,86.6
θετέος,5,0.02,86.62
ἁλουργής,5,0.02,86.63
τερπνός,5,0.02,86.65
τρυφερός,5,0.02,86.67
ἀναίσθητος,5,0.02,86.68
φιλιππικός,5,0.02,86.7
ἀνδρώδης,5,0.02,86.72
διάχρυσος,5,0.02,86.73
νοσώδης,5,0.02,86.75
ἄλυπος,5,0.02,86.77
ἄσιτος,5,0.02,86.78
ἐραστός,5,0.02,86.8
